CO	N	idle
23	1	88.93
40	2	88.78
57	3	88.58
68	4	88.33
80	5	88.05
91	6	87.71
99	7	87.33
105	8	86.93
118	9	86.54
122	10	86.1
122	11	85.63
136	12	85.16
144	13	84.7
141	14	84.22
155	15	83.71
153	16	83.21
160	17	82.69
166	18	82.17
177	19	81.66
167	20	81.12
170	21	80.63
195	22	80.06
191	23	79.49
170	24	78.97
178	25	78.43
187	26	77.86
158	27	77.25
179	28	76.72
186	29	76.18
203	30	75.6
209	31	75.01
210	32	74.43
215	33	73.85
220	34	73.26
214	35	72.69
207	36	72.12
208	37	71.58
213	38	71.03
209	39	70.51
216	40	69.95
218	41	69.41
212	42	68.93
215	43	68.45
220	44	67.95
202	45	67.44
207	46	66.94
209	47	66.45
203	48	65.98
204	49	65.48
206	50	65
